Back BOM,,,
Amount,Designator,Part Type,Properties
1,,Generic molex header - 4 pins,"package THT; hole size 1.0mm,0.508mm; row single; form molex; pins 4; pin spacing 0.1in (2.54mm)"
2,"c11, c12",Electrolytic Capacitor,"package 0405 [SMD, electrolytic]; capacitance 10µF; voltage 6.3V"
4,c13-c16,Ceramic Capacitor,"package 0603 [SMD, multilayer]; capacitance 100nF; voltage 6.3V"
1,c17,Electrolytic Capacitor,"package 0405 [SMD, electrolytic]; capacitance 1µF; voltage 6.3V"
3,D1-D3,Schottky Diode,package Melf DO-213 AB [SMD]; type Schottky; part # 1N4148
1,IC1,SOIC-14,package SOIC-14; true; chip label IC; part # TL074
1,,Generic female header - 40 pins,"package THT; hole size 1.0mm,0.3mm; row single; form ♀ (female); pins 5; pin spacing 0.1in (2.54mm)"
1,,Generic female header - 40 pins,"package THT; hole size 1.0mm,0.3mm; row single; form (male); pins 40; pin spacing 0.1in (2.54mm)"
2,,Inductor,package 400 mil [THT]
2,"r1, r3",100k Ω Resistor,package 0603 [SMD]; tolerance ±5%; resistance 100kΩ
1,r2,10k Ω Resistor,package 0603 [SMD]; tolerance ±5%; resistance 10kΩ
1,r4,220 Ω Resistor,package 0603 [SMD]; tolerance ±5%; resistance 220Ω
2,"r5, r6",47k Ω Resistor,package 0603 [SMD]; tolerance ±5%; resistance 47kΩ
1,r7,33k Ω Resistor,package 0603 [SMD]; tolerance ±5%; resistance 33kΩ
1,r8,1k Ω Resistor,package 0603 [SMD]; tolerance ±5%; resistance 1kΩ
1,U1,VTL5C4,package THT; part VTL5C4; variant variant 3
,,,
Front BOM,,,
Amount,Designator,Part Type,Properties
4,knobs,Generic female header - 1 pins,"package THT; hole size 1.0mm,0.508mm; row single; form ♀ (female); pins 1; pin spacing 0.1in (2.54mm)"
2,Banana,Black,
1,,Red LED - 5mm,package 5 mm [THT]; leg yes; color Red (633nm)
2,"R1, R2",Rotary Potentiometer (Small),package THT; size Rotary - 9mm; track Linear; type Rotary Shaft Potentiometer; maximum resistance 10kΩ
2,"R3, R4",Rotary Potentiometer (Small),package THT; size Rotary - 9mm; track Linear; type Rotary Shaft Potentiometer; maximum resistance 100kΩ
1,r5,1k Ω Resistor,package 0603 [SMD]; tolerance ±5%; resistance 1kΩ
2,Hex M3 10mm,Male Female,
4,Hex M3 11mm,Female Female,
6,Machine screw M3,6mm,
